SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
103767,,,,Ferretería general,"RED-M04+A1.jpg, RED-M04+E1.jpg, RED-M04+EI1.jpg, RED-M04+EIND1.jpg, RED-M04+EM1.jpg, RED-M04+FC1.jpg, RED-M04+FC2.jpg, RED-M04.jpg",Marca,Truper,Medida,
103805,,,,Ferretería general,"RED-E10+A1.jpg, RED-E10+E1.jpg, RED-E10+EI1.jpg, RED-E10+EIND1.jpg, RED-E10+EM1.jpg, RED-E10+FC1.jpg, RED-E10+FC2.jpg, RED-E10.jpg",Marca,Truper,Medida,
103828,,,,Ferretería general,"KC-350+CR1.jpg, KC-350+EI1.jpg, KC-350+EIND1.jpg, KC-350+EM1.jpg, KC-350.jpg",Marca,Truper,Medida,
103870,,,,Ferretería general,"ANC-15+D1.jpg, ANC-15+E1.jpg, ANC-15+EI1.jpg, ANC-15+EIND1.jpg, ANC-15+EM1.jpg, ANC-15+FC1.jpg, ANC-15.jpg",Marca,Truper,Medida,
104009,,,,Ferretería general,"CARBA-4+D1.jpg, CARBA-4+D2.jpg, CARBA-4+E1.jpg, CARBA-4+FC1.jpg, CARBA-4+FC2.jpg, CARBA-4.jpg",Marca,Truper,Medida,
104010,,,,Ferretería general,"CARBA-8+D1.jpg, CARBA-8+D2.jpg, CARBA-8+E1.jpg, CARBA-8+FC1.jpg, CARBA-8+FC2.jpg, CARBA-8.jpg",Marca,Truper,Medida,
104011,,,,Ferretería general,"CARBA-100+D1.jpg, CARBA-100+D2.jpg, CARBA-100+E1.jpg, CARBA-100+FC1.jpg, CARBA-100+FC2.jpg, CARBA-100.jpg",Marca,Truper,Medida,
104021,,,,Ferretería general,"CARBA-320+D1.jpg, CARBA-320+D2.jpg, CARBA-320+E1.jpg, CARBA-320+FC1.jpg, CARBA-320+FC2.jpg, CARBA-320.jpg",Marca,Truper,Medida,
104082,,,,Ferretería general,"CUA-CH+E1.jpg, CUA-CH+E2.jpg, CUA-CH+EIND1.jpg, CUA-CH+EM1.jpg, CUA-CH+FC1.jpg, CUA-CH+FC2.jpg, CUA-CH.jpg",Marca,Truper,Medida,
104083,,,,Ferretería general,"CUA-M+D1.jpg, CUA-M+E1.jpg, CUA-M+EIND1.jpg, CUA-M+EM1.jpg, CUA-M+FC1.jpg, CUA-M+FC2.jpg, CUA-M.jpg",Marca,Truper,Medida,
104084,,,,Ferretería general,"CUA-G+D1.jpg, CUA-G+E1.jpg, CUA-G+EIND1.jpg, CUA-G+EM1.jpg, CUA-G+FC1.jpg, CUA-G+FC2.jpg, CUA-G.jpg",Marca,Truper,Medida,
104085,,,,Ferretería general,"PIAS-113+D1.jpg, PIAS-113+FC1.jpg, PIAS-113+FC2.jpg, PIAS-113.jpg",Marca,Truper,Medida,
10447,,,,Ferretería general,"INCO-100+D1.jpg, INCO-100+D2.jpg, INCO-100+E1.jpg, INCO-100+EI1.jpg, INCO-100+EM1.jpg, INCO-100+FC1.jpg, INCO-100+FC2.jpg, INCO-100+FC3.jpg, INCO-100.jpg",Marca,Truper,Medida,
