SKU,Articulo,Precio_Publico,Sucursal_Bodega,Stock_Actual
45005,CAJA TIPO CHALUPA 2X4 PLASTICA NEGRA*,9.48,Almacen Uno                                                 ,702
ITSA0001,TAPA CIEGA 2 BARRENOS ALUMINIO*,29.44,Almacen Uno                                                 ,702
TOHE0025,"TORNILLO CAB HEXA 1/2"" X 1""*",3.5,Almacen Uno                                                 ,702
S01020,TUBO LED T8 18W 65K VIDRIO OPALINO,32.7,Almacen Uno                                                 ,692
ARAN0015,ARANDELA CUADRADA DE 1/2,18,Almacen Uno                                                 ,689
TAFS0010,TAPA CIEGA TIPO FS 2X4 PLATEADA,8.4,Almacen Uno                                                 ,689
46548,PLACA DE ACERO INOXIDABLE CIEGA,25.86,Almacen Uno                                                 ,653
45553,"CODO 45 PPR, 1/2 MACHO-HEMBRA*",6.9,Almacen Uno                                                 ,650
45557,"TUERCA UNION PPR, PLASTICA, 3/4*",13.36,Almacen Uno                                                 ,650
TOCL0005,TOPE CAÑON LARGO CAL 4*,38.84,Almacen Uno                                                 ,650
TAQU0005,"TAQUETE EXPANSOR Z 1/2""",35.48,Almacen Uno                                                 ,650
LEVI0005IN,TAPA BAQ 2X4 P/CONTACTO DOBLE BLANCA LEVITON,11.58,Almacen Uno                                                 ,650
CDSR0001,"CODO SIN ROSCA  1/2""",23.54,Almacen Uno                                                 ,650
45391,"BOLSA 2 PZ PORTALÁMPARAS P/TUBO LED Y FLUORESCENTE, BASE G5",9.48,Almacen Uno                                                 ,650
COWP0004,COPLE WP 1 1/4,33.42,Almacen Uno                                                 ,650
PIJA0101,PIJA FIJADORA PHILIP 10X1,0.42,Almacen Uno                                                 ,650
46320,"CAJA TIPO CHALUPA 2x4"" REFORZADA*",12.07,Almacen Uno                                                 ,640
46433INAC,PLACA TIPO FS CON CUBIERTA DOBLE DE SOBREPONER*,116.38,Almacen Uno                                                 ,637
46330,TAPA DE 4*4 PARA CAJA CUADRADA REFORZADA VOLTEK*,8.19,Almacen Uno                                                 ,631
46117,CONTACTO PLASTICO ATERRIZADO 2P + T,20.69,Almacen Uno                                                 ,614
LEVI0005,TAPA BAQ 2X4 P/CONTACTO DOBLE BLANCA LEVITON,11.58,Almacen Uno                                                 ,613
